Vehicle ID: 0, Entry Lane: CL2, Exit Lane: CL1, Direction: S
Vehicle ID: 81, Entry Lane: AL2, Exit Lane: CL1, Direction: S
Vehicle ID: 82, Entry Lane: CL2, Exit Lane: CL1, Direction: S
Vehicle ID: 83, Entry Lane: CL2, Exit Lane: BL1, Direction: S
Vehicle ID: 84, Entry Lane: CL2, Exit Lane: L3, Direction: N
Vehicle ID: 85, Entry Lane: CL2, Exit Lane: AL1, Direction: E
Vehicle ID: 86, Entry Lane: BL2, Exit Lane: CL1, Direction: W
Vehicle ID: 87, Entry Lane: DL2, Exit Lane: CL1, Direction: W
Vehicle ID: 88, Entry Lane: DL2, Exit Lane: CL1, Direction: W
Vehicle ID: 89, Entry Lane: AL2, Exit Lane: L3, Direction: S
Vehicle ID: 90, Entry Lane: DL2, Exit Lane: CL1, Direction: E
Vehicle ID: 91, Entry Lane: DL2, Exit Lane: AL1, Direction: E
Vehicle ID: 0, Entry Lane: BL2, Exit Lane: BL1, Direction: S
Vehicle ID: 1, Entry Lane: DL2, Exit Lane: AL1, Direction: W
Vehicle ID: 2, Entry Lane: BL2, Exit Lane: BL1, Direction: E
Vehicle ID: 3, Entry Lane: DL2, Exit Lane: L3, Direction: E
Vehicle ID: 4, Entry Lane: BL2, Exit Lane: L3, Direction: S
Vehicle ID: 5, Entry Lane: CL2, Exit Lane: AL1, Direction: S
Vehicle ID: 6, Entry Lane: DL2, Exit Lane: DL1, Direction: E
Vehicle ID: 7, Entry Lane: DL2, Exit Lane: CL1, Direction: S
Vehicle ID: 8, Entry Lane: AL2, Exit Lane: L3, Direction: W
Vehicle ID: 9, Entry Lane: BL2, Exit Lane: AL1, Direction: S
Vehicle ID: 10, Entry Lane: BL2, Exit Lane: L3, Direction: S
Vehicle ID: 11, Entry Lane: BL2, Exit Lane: BL1, Direction: S
Vehicle ID: 12, Entry Lane: AL2, Exit Lane: AL1, Direction: S
Vehicle ID: 13, Entry Lane: AL2, Exit Lane: CL1, Direction: S
Vehicle ID: 14, Entry Lane: DL2, Exit Lane: CL1, Direction: N
